id,name,sex,religion,occupation,social_status,allegiance_last,allegiance_switched,intro_season,intro_episode,intro_time_sec,intro_time_hrs,dth_flag,dth_season,dth_episode,dth_time_sec,dth_time_hrs,censor_time_sec,censor_time_hrs,exp_season,exp_episode,exp_time_sec,exp_time_hrs,featured_episode_count,prominence,dth_description,icd10_dx_code,icd10_dx_text,icd10_cause_code,icd10_cause_text,icd10_place_code,icd10_place_text,top_location,geo_location,time_of_day,,,,,,
422,Wyman Manderly,1,3,1,1,1,1,6,60,181990,50.55,0,,,,,230800,64.11,3,14,48811,13.56,1,0.2143,,,,,,,,,,,,,,,,
423,Cley Cerwyn,1,4,1,1,1,1,6,60,182002,50.56,0,,,,,230800,64.11,3,14,48799,13.56,1,0.2143,,,,,,,,,,,,,,,,
424,Alys Karstark,2,4,1,1,1,1,7,61,183047,50.85,0,,,,,230800,64.11,2,13,47754,13.27,5,0.7692,,,,,,,,,,,,,,,,
425,Ned Umber,1,4,1,1,1,2,7,61,183163,50.88,1,8,68,209425,58.17,209425,58.17,2,8,26263,7.30,3,0.7500,Killed by the Army of the Dead at Last Hearth,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,9,,,,,,
426,Ebrose,1,9,1,2,8,1,7,61,184119,51.14,0,,,,,230800,64.11,2,13,46682,12.97,4,0.6154,,,,,,,,,,,,,,,,
427,Harrag,1,9,2,2,5,1,7,62,189306,52.59,0,,,,,230800,64.11,2,12,41495,11.53,4,0.6667,,,,,,,,,,,,,,,,
428,Henk,1,9,2,2,1,1,7,64,192860,53.57,0,,,,,230800,64.11,2,10,37941,10.54,1,0.2000,,,,,,,,,,,,,,,,
429,Koner,1,9,2,2,1,1,7,64,192860,53.57,0,,,,,230800,64.11,2,10,37941,10.54,1,0.2000,,,,,,,,,,,,,,,,
430,Harry Strickland,1,9,2,2,4,1,8,68,207439,57.62,1,8,72,223879,62.19,223879,62.19,1,5,16441,4.57,2,0.4000,Skewered in the back with a spear by Grey Worm during the Battle of King's Landing,S31,"Open wound of abdomen, lower back and pelvis",Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.29,Other specified institution and public administrative area,2,1,1,,,,,,
431,Craya,2,9,2,2,9,1,8,68,207704,57.70,0,,,,,230800,64.11,1,6,23097,6.42,1,0.1667,,,,,,,,,,,,,,,,
432,Dirah,2,9,2,2,9,1,8,68,207704,57.70,0,,,,,230800,64.11,1,6,23097,6.42,1,0.1667,,,,,,,,,,,,,,,,
433,Fergus,1,9,2,2,1,1,8,69,210780,58.55,0,,,,,230800,64.11,1,5,20021,5.56,1,0.2000,,,,,,,,,,,,,,,,
434,Fergus' Friend,1,9,2,2,1,1,8,69,210780,58.55,0,,,,,230800,64.11,1,5,20021,5.56,1,0.2000,,,,,,,,,,,,,,,,
435,Woman with Elderly Parents,2,9,9,2,1,1,8,69,210815,58.56,0,,,,,230800,64.11,1,5,19986,5.55,2,0.4000,,,,,,,,,,,,,,,,
436,Teela,2,9,9,2,1,1,8,69,210845,58.57,0,,,,,230800,64.11,1,5,19956,5.54,2,0.4000,,,,,,,,,,,,,,,,
437,Martha,2,9,2,2,8,1,8,70,216708,60.20,0,,,,,230800,64.11,1,4,14093,3.91,2,0.5000,,,,,,,,,,,,,,,,
438,Winterfell girl,2,9,9,2,1,1,8,71,218389,60.66,0,,,,,230800,64.11,1,3,12412,3.45,1,0.3333,,,,,,,,,,,,,,,,
439,Willa,2,9,9,2,1,1,8,71,218409,60.67,0,,,,,230800,64.11,1,3,12392,3.44,1,0.3333,,,,,,,,,,,,,,,,
440,Sarra,2,9,9,2,1,1,8,71,218409,60.67,0,,,,,230800,64.11,1,3,12392,3.44,1,0.3333,,,,,,,,,,,,,,,,
441,Nora,2,9,9,2,4,1,8,72,222821,61.89,1,8,72,225925,62.76,225925,62.76,1,1,3105,0.86,1,1.0000,Burned alive by Drogon during the Battle of King's Landing,T29,Burns of multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.4,Street and highway,2,1,1,,,,,,
442,Nora's Daughter,2,9,9,2,4,1,8,72,222821,61.89,1,8,72,225925,62.76,225925,62.76,1,1,3105,0.86,1,1.0000,Burned alive by Drogon during the Battle of King's Landing,T29,Burns of multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.4,Street and highway,2,1,1,,,,,,
443,Northern Sentry,1,9,2,2,1,1,8,72,222915,61.92,0,,,,,230800,64.11,1,2,7886,2.19,1,0.5000,,,,,,,,,,,,,,,,
444,Unsullied Sentry,1,9,2,2,2,1,8,72,222954,61.93,0,,,,,230800,64.11,1,2,7847,2.18,1,0.5000,,,,,,,,,,,,,,,,
445,Lannister Solider (Scorpion Command),1,9,2,2,4,1,8,72,223544,62.10,1,8,72,223784,62.16,223784,62.16,1,1,241,0.07,1,1.0000,Burned alive by Drogon during the Battle of King's Landing,T29,Burns of multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.4,Street and highway,2,1,1,,,,,,
446,Lannister Soldier (Captain),1,9,2,2,4,1,8,72,224076,62.24,1,8,72,224409,62.34,224409,62.34,1,1,334,0.09,1,1.0000,Spear in chest by Grey Worm during the Battle of King's Landing,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.4,Street and highway,2,1,1,,,,,,
447,Lannister Soldier,1,9,2,2,4,1,8,72,224079,62.24,1,8,72,224411,62.34,224411,62.34,1,1,333,0.09,1,1.0000,Stabbed by Stark soldiers during the Battle of King's Landing,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.4,Street and highway,2,1,1,,,,,,
448,King's Landing Citizen ,2,9,9,2,4,1,8,72,224554,62.38,1,8,72,224561,62.38,224561,62.38,1,1,8,0.00,1,1.0000,Throat slit by Stark soldier during the Battle of King's Landing,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.4,Street and highway,2,1,1,,,,,,
449,King's Landing Citizen (Boy),1,9,9,2,4,1,8,72,224557,62.38,0,,,,,230800,64.11,1,2,6244,1.73,1,0.5000,,,,,,,,,,,,,,,,
450,Rapist,1,9,2,2,1,1,8,72,224611,62.39,1,8,72,224627,62.40,224627,62.40,1,1,17,0.00,1,1.0000,Stabbed in abdomen by Jon Snow during the Battle of King's Landing,S31,"Open wound of abdomen, lower back and pelvis",Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.4,Street and highway,2,1,1,,,,,,
451,Crying Man,1,9,2,2,1,1,8,73,226360,62.88,0,,,,,230800,64.11,1,1,4441,1.23,1,1.0000,,,,,,,,,,,,,,,,
452,Lannister Soldier,1,9,2,2,4,1,8,73,226401,62.89,0,,,,,230800,64.11,1,1,4400,1.22,1,1.0000,,,,,,,,,,,,,,,,
453,Unnamed Lord 1,1,9,1,1,1,1,8,73,228755,63.54,0,,,,,230800,64.11,1,1,2046,0.57,1,1.0000,,,,,,,,,,,,,,,,
454,Lord Une,1,9,1,1,1,1,8,73,228770,63.55,0,,,,,230800,64.11,1,1,2031,0.56,1,1.0000,,,,,,,,,,,,,,,,
455,Unnamed Northern Lord,1,9,1,1,1,1,8,73,228771,63.55,0,,,,,230800,64.11,1,1,2030,0.56,1,1.0000,,,,,,,,,,,,,,,,
456,Prince of Dorne,1,9,1,1,1,1,8,73,228773,63.55,0,,,,,230800,64.11,1,1,2028,0.56,1,1.0000,,,,,,,,,,,,,,,,
457,Unnamed Lord 2,1,9,1,1,1,1,8,73,228900,63.58,0,,,,,230800,64.11,1,1,1901,0.53,1,1.0000,,,,,,,,,,,,,,,,
458,Unsullied Lieutenant/Captain,1,9,2,2,2,1,8,73,229649,63.79,0,,,,,230800,64.11,1,1,1152,0.32,1,1.0000,,,,,,,,,,,,,,,,
